,precision,recall,f1-score,support
Normal,0.93993993993994,0.9601226993865031,0.9499241274658573,326.0
Pathological,0.8823529411764706,0.9375,0.9090909090909091,32.0
Suspect,0.7796610169491526,0.6764705882352942,0.7244094488188977,68.0
accuracy,0.9131455399061033,0.9131455399061033,0.9131455399061033,0.9131455399061033
macro avg,0.8673179660218544,0.8580310958739323,0.8611414951252213,426.0
weighted avg,0.9100297269732627,0.9131455399061033,0.9108591952217455,426.0
